id;s1;s1Text;s2;s2Text;s3;s3Text
216;Outbreak;[Foes] Dark Resist-6% & [Allies] Critical Rate+6%;Outbreak+;[Foes] Dark Resist-8% & [Allies] Critical Rate+8%;Outbreak++;[Foes] Dark Resist-10% & [Allies] Critical Rate+10%
217;Edas Dance;[Self] Str. And Agi.+10% & [Foes] Dmg. Received (Attack Type: Single & All Target)+6%;Edas Dance+;[Self] Str. And Agi.+15% & [Foes] Dmg. Received (Attack Type: Single & All Target)+8%;Edas Dance++;[Self] Str. And Agi.+20% & [Foes] Dmg. Received (Attack Type: Single & All Target)+10%
218;End of the Queue;[Self] Str., Mag., P.Resist and M.Resist+6% & [Foes] Status Buff-1 turn;End of the Queue+;[Self] Str., Mag., P.Resist and M.Resist+8% & [Foes] Status Buff-2 turn;End of the Queue++;[Self] Str., Mag., P.Resist and M.Resist+10% & [Foes] Status Buff-3 turn
219;Onsen Prayer;[Foes] Mag.-10%;Onsen Prayer＋;[Foes] Mag.-15%;Onsen Prayer＋＋;[Foes] Mag.-20%
220;Mastery Lightning;[Foes] Thunder Resist-5% & [Allies] 5% HP Regen;Mastery Lightning+;[Foes] Thunder Resist-10% & [Allies] 10% HP Regen;Mastery Lightning++;[Foes] Thunder Resist-15% & [Allies] 15% HP Regen
221;Secrets of Trading;[Allies] Str. & Mag. & Agi. & Dex.+6% w/Stun Resist+50%;Secrets of Trading+;[Allies] Str. & Mag. & Agi. & Dex.+8% w/Stun Resist+75%;Secrets of Trading++;[Allies] Str. & Mag. & Agi. & Dex.+10% w/Stun Resist+100%
222;Pose of Diligence;[Allies] Taunt Resist & Stun Resist+50% w/End.+3%;Pose of Diligence+;[Allies] Taunt Resist & Stun Resist+75% w/End.+4%;Pose of Diligence++;[Allies] Taunt Resist & Stun Resist+100% w/End.+5%
223;Velvet Dress;[Allies] Dmg. received (Attack Type: All and Single Targets)-5% and Fire Resist+10% and [Self] +1 Instant Effect (When attacked, Water Attack Dmg.+40%/1 turn on Allies, once per turn);Velvet Dress+;[Allies] Dmg. received (Attack Type: All and Single Targets)-10% and Fire Resist+15% and [Self] +2 Instant Effect (When attacked, Water Attack Dmg.+40%/1 turn on Allies, once per turn);Velvet Dress++;[Allies] Dmg. received (Attack Type: All and Single Targets)-15% and Fire Resist+20% and [Self] +3 Instant Effect (When attacked, Water Attack Dmg.+40%/1 turn on Allies, once per turn)
224;Chivalry's Lesson;Counter Rate+9%;Chivalry's Lesson+;Counter Rate+12%;Chivalry's Lesson++;Counter Rate+15%
225;Child of the MediGod;[Allies] 6% HP Regen;Child of the MediGod+;[Allies] 8% HP Regen;Child of the MediGod++;[Allies] 10% HP Regen
226;Cyan Drop;[Allies] 10% HP Regen & Heal and Counter Rate+6%;Cyan Drop+;[Allies] 15% HP Regen & Heal and Counter Rate+8%;Cyan Drop++;[Allies] 20% HP Regen & Heal and Counter Rate+10%
227;Ghost's Guidance;[Allies] Mag.+10% w/Dark & Earth Attack Damage+5%;Ghost's Guidance+;[Allies] Mag.+15% w/Dark & Earth Attack Damage+10%;Ghost's Guidance++;[Allies] Mag.+20% w/Dark & Earth Attack Damage+15%
228;Head-Turner;[Foes] Critical Rate-6% & [Allies] Counter Rate+10%;Head-Turner+;[Foes] Critical Rate-8% & [Allies] Counter Rate+15%;Head-Turner++;[Foes] Critical Rate-10% & [Allies] Counter Rate+20%
229;Flame of Hope;Str.+5%;Flame of Hope+;Str.+10%;Flame of Hope++;Str.+15%
230;Aid of Divine Fire;Str.+10%;Aid of Divine Fire+;Str.+15%;Aid of Divine Fire++;Str.+20%
231;Maiden's Protection;Str.+20%;Maiden's Protection+;Str.+25%;Maiden's Protection++;Str.+30%
232;My Heart To You;Dex.+9%;My Heart To You+;Dex.+12%;My Heart To You++;Dex.+15%
233;Hilarious Service;[Allies] Str.+5%;Hilarious Service+;[Allies] Str.+10%;Hilarious Service++;[Allies] Str.+15%
234;Bouncing Blessing;[Foes] Str.-10%;Bouncing Blessing+;[Foes] Str.-15%;Bouncing Blessing++;[Foes] Str.-20%
235;Dazzling Wish;[Allies] 1MP Regen;Dazzling Wish+;[Allies] 3MP Regen;Dazzling Wish++;[Allies] 5MP Regen
236;Mummy Guidance;[Foes] Dex.-6% & [Allies] Counter Rate+5%;Mummy Guidance+;[Foes] Dex.-8% & [Allies] Counter Rate+10%;Mummy Guidance++;[Foes] Dex.-10% & [Allies] Counter Rate+15%
237;God's Present;[Foes] Str. & Counter Rate-5%;God's Present+;[Foes] Str. & Counter Rate-10%;God's Present++;[Foes] Str. & Counter Rate-15%
238;Rise and Shine;[Allies] Sleep Resist+50% & [Foes] M.Resist-10%;Rise and Shine+;[Allies] Sleep Resist+75% & [Foes] M.Resist-12%;Rise and Shine++;[Allies] Sleep Resist+100% & [Foes] M.Resist-15%
239;Candy-Coated;[Foes] Mag.-5% & Heal-6%;Candy-Coated+;[Foes] Mag.-10% & Heal-8%;Candy-Coated++;[Foes] Mag.-15% & Heal-10%
240;Onsen Effect;[Foes] Str.-10%;Onsen Effect＋;[Foes] Str.-15%;Onsen Effect＋＋;[Foes] Str.-20%
241;Uncontrollable God;Dex.+9%;Uncontrollable God＋;Dex.+12%;Uncontrollable God＋＋;Dex.+15%
242;Sparkling Smile;[Allies] P.Resist & Guard Rate+6%;Sparkling Smile+;[Allies] P.Resist & Guard Rate+8%;Sparkling Smile++;[Allies] P.Resist & Guard Rate+10%
